Nombre;Altura;Edad (2018);Valor de mercado;Partidos jugados;Goles;Asistencias;Amarillas;Rojas;Nacionalidad;Club ;Posición
Ahmed Khalil;1,8;27;1,500,000;28;10;4;3;0;Emiratos Árabes;Al Jazira;Delantero
Bassem Srarfi;1,76;20;1,500,000;25;4;3;2;0;Túnez;Niza;Extremo
Phil Jones;1,85;26;20,000,000;32;2;1;5;0;Inglaterra;Manchester United;Defensa
Trent Alexander-Arnold;1,8;19;25,000,000;30;3;6;3;0;Inglaterra;Liverpool;Lateral
Adnan Januzaj;1,86;23;8,000,000;28;5;5;3;0;Bélgica;Real Sociedad;Extremo
Gary Cahill;1,91;32;10,000,000;30;2;1;4;0;Inglaterra;Chelsea;Defensa
Thomas Vermaelen;1,83;32;3,000,000;25;1;0;3;0;Bélgica;FC Barcelona;Defensa
Leander Dendoncker;1,88;23;15,000,000;34;4;4;4;0;Bélgica;Anderlecht;Mediocentro
Eric Dier;1,88;24;25,000,000;36;3;4;5;0;Inglaterra;Tottenham;Mediocentro
Vincent Kompany;1,9;32;15,000,000;28;2;1;5;0;Bélgica;Manchester City;Defensa
Danny Welbeck;1,85;27;15,000,000;32;10;5;3;0;Inglaterra;Arsenal;Delantero
Lamine Gassama;1,81;28;2,000,000;28;2;3;3;0;Senegal;Alanyaspor;Lateral
Keita Baldé;1,84;23;25,000,000;34;16;7;4;0;Senegal;Mónaco;Extremo
Luis Muriel;1,79;27;20,000,000;36;16;6;4;0;Colombia;Sevilla;Delantero
Diafra Sakho;1,84;28;6,000,000;30;10;4;3;0;Senegal;Rennes;Delantero
Miguel Borja;1,83;25;7,000,000;34;15;5;4;0;Colombia;Palmeiras;Delantero
Yoshinori Muto;1,79;25;8,000,000;32;10;5;3;0;Japón;Mainz 05;Delantero
Rafa? Kurzawa;1,82;25;2,000,000;28;4;6;3;0;Polonia;Górnik Zabrze;Lateral
?ukasz Fabia?ski;1,9;33;5,000,000;38;0;0;2;0;Polonia;Swansea City;Portero
Tomoaki Makino;1,82;30;1,500,000;28;2;1;3;0;Japón;Urawa Red Diamonds;Defensa
Artur J?drzejczyk;1,89;30;1,500,000;28;1;1;4;0;Polonia;Legia Varsovia;Defensa
Gotoku Sakai;1,76;27;2,000,000;30;2;3;3;0;Japón;Hamburgo;Lateral
S?awomir Peszko;1,73;33;500;25;3;4;3;0;Polonia;Lechia Gdansk;Extremo
Nacho Fernández;1,8;28;25,000,000;36;3;2;4;0;España;Real Madrid;Defensa
Masoud Shojaei;1,85;34;500;25;2;2;3;0;Irán;AEK Atenas;Mediocentro
Amine Harit;1,8;20;15,000,000;32;5;7;3;0;Marruecos;Schalke 04;Mediocentro ofensivo
Roozbeh Cheshmi;1,9;24;1,000,000;25;2;1;3;0;Irán;Esteghlal;Defensa
Sofyan Amrabat;1,85;21;3,000,000;28;4;5;3;0;Marruecos;Feyenoord;Mediocentro
Sam Morsy;1,75;26;1,500,000;28;2;3;3;0;Egipto;Wigan Athletic;Mediocentro
Ricardo Pereira;1,75;24;20,000,000;36;5;7;4;0;Portugal;Oporto;Lateral
Cristhian Stuani;1,86;31;6,000,000;36;21;4;4;0;Uruguay;Girona;Delantero
Manuel Fernandes;1,81;32;8,000,000;34;7;6;4;0;Portugal;Lokomotiv Moscú;Mediocentro
Federico Fazio;1,95;31;6,000,000;34;3;1;5;0;Argentina;Roma;Defensa
Florian Thauvin;1,79;25;40,000,000;45;22;11;4;0;Francia;Marsella;Extremo
Jonas Knudsen;1,85;25;2,000,000;30;2;3;3;0;Dinamarca;Ipswich Town;Lateral
Michael Krohn-Dehli;1,71;34;500;25;2;3;2;0;Dinamarca;Deportivo La Coruña;Mediocentro
Vladimir Granat;1,84;31;1,500,000;28;2;1;3;0;Rusia;Rubin Kazan;Defensa
Aleksandr Erokhin;1,95;28;3,000,000;32;8;6;4;0;Rusia;Zenit;Mediocentro
Jonathan dos Santos;1,74;28;6,000,000;34;4;6;4;0;México;LA Galaxy;Mediocentro
Marquinhos;1,83;24;60,000,000;40;4;3;5;0;Brasil;PSG;Defensa
Cristian Zapata;1,87;31;2,000,000;30;2;1;4;0;Colombia;AC Milan;Defensa
Johan Djourou;1,91;31;1,500,000;28;1;0;4;0;Suiza;Antalyaspor;Defensa
Martin Olsson;1,78;30;2,000,000;30;2;3;3;0;Suecia;Swansea City;Lateral
Emil Krafth;1,84;23;2,500,000;28;1;2;3;0;Suecia;Bologna;Lateral
Jonathan Urretaviscaya;1,7;28;2,000,000;28;6;5;3;0;Uruguay;Monterrey;Extremo
